first,second,eight,four,final,champion
Indiana,Indiana,Oregon,Michigan State,,
Indiana,Oregon,Michigan State,Wisconsin,,
Oregon,Michigan State,Wisconsin,Maryland,,
Oregon,Michigan State,UCLA,Michigan,,
Michigan State,Northwestern,Illinois,,,
Michigan State,Wisconsin,Maryland,,,
Michigan State,UCLA,Purdue,,,
Michigan State,UCLA,Michigan,,,
Northwestern,Iowa,,,,
Minnesota,Illinois,,,,
Wisconsin,Maryland,,,,
Wisconsin,Maryland,,,,
UCLA,USC,,,,
UCLA,Purdue,,,,
UCLA,Michigan,,,,
UCLA,Michigan,,,,
Iowa,,,,,
Ohio State,,,,,
Illinois,,,,,
Illinois,,,,,
Maryland,,,,,
Maryland,,,,,
Maryland,,,,,
Maryland,,,,,
USC,,,,,
Rutgers,,,,,
Purdue,,,,,
Purdue,,,,,
Michigan,,,,,
Michigan,,,,,
Michigan,,,,,
Michigan,,,,,