second,sixteen,eight,four,final,champion
Auburn,Auburn,,,,
Auburn,Michigan,,,,
Michigan,,,,,
Michigan,,,,,
Ole Miss,,,,,
Iowa State,,,,,
New Mexico,Texas Tech,,,,
Michigan State,Arkansas,,,,
Florida,,,,,
UConn,,,,,
Colorado State,BYU,,,,
Maryland,,,,,
Texas Tech,Houston,,,,
Texas Tech,Purdue,,,,
Arkansas,,,,,
Arkansas,Tennessee,,,,
Duke,,,,,
Baylor,,,,,
Oregon,,,,,
Arizona,,,,,
BYU,,,,,
BYU,,,,,
Saint Mary's,,,,,
Alabama,,,,,
Houston,,,,,
Houston,,,,,
Purdue,,,,,
Purdue,,,,,
Illinois,,,,,
Kentucky,,,,,
Tennessee,,,,,
Tennessee,,,,,