first,second,sixteen,eight,four,final,champion
Gonzaga,Gonzaga,Gonzaga,Gonzaga,Gonzaga,Gonzaga,Baylor
Norfolk State,Oklahoma,Creighton,USC,UCLA,Baylor,
Oklahoma,Creighton,USC,Michigan,Baylor,,
Missouri,Ohio,Oregon,UCLA,Houston,,
Creighton,USC,Michigan,Baylor,,,
UCSB,Kansas,Florida State,Arkansas,,,
Virginia,Oregon,UCLA,Oregon State,,,
Ohio,Iowa,Alabama,Houston,,,
USC,Michigan,Baylor,,,,
Drake,LSU,Villanova,,,,
Kansas,Colorado,Arkansas,,,,
Eastern Washington,Florida State,Oral Roberts,,,,
Oregon,UCLA,Loyola (IL),,,,
VCU,Abilene Christian,Oregon State,,,,
Iowa,Maryland,Syracuse,,,,
Grand Canyon,Alabama,Houston,,,,
Michigan,Baylor,,,,,
Texas Southern,Wisconsin,,,,,
LSU,Villanova,,,,,
St. Bonaventure,North Texas,,,,,
Colorado,Texas Tech,,,,,
Georgetown,Arkansas,,,,,
Florida State,Florida,,,,,
UNC Greensboro,Oral Roberts,,,,,
BYU,Illinois,,,,,
UCLA,Loyola (IL),,,,,
Texas,Oregon State,,,,,
Abilene Christian,Oklahoma State,,,,,
UConn,Syracuse,,,,,
Maryland,West Virginia,,,,,
Alabama,Rutgers,,,,,
Iona,Houston,,,,,
Baylor,,,,,,
Hartford,,,,,,
UNC,,,,,,
Wisconsin,,,,,,
Villanova,,,,,,
Winthrop,,,,,,
Purdue,,,,,,
North Texas,,,,,,
Texas Tech,,,,,,
Utah State,,,,,,
Arkansas,,,,,,
Colgate,,,,,,
Florida,,,,,,
Virginia Tech,,,,,,
Ohio State,,,,,,
Oral Roberts,,,,,,
Illinois,,,,,,
Drexel,,,,,,
Loyola (IL),,,,,,
Georgia Tech,,,,,,
Tennessee,,,,,,
Oregon State,,,,,,
Oklahoma State,,,,,,
Liberty,,,,,,
San Diego State,,,,,,
Syracuse,,,,,,
West Virginia,,,,,,
Morehead State,,,,,,
Clemson,,,,,,
Rutgers,,,,,,
Houston,,,,,,
Cleveland State,,,,,,